Record Number	001	Location
b63474116	sse0000237677	multi;eb;er;noh
b63474153	sse0000238049	multi;eb;er;noh
b63474165	sse0000238052	multi;eb;er;noh
b63474189	sse0000238254	multi;eb;er;noh
b63474207	sse0000238658	multi;eb;er;noh
b63474244	sse0000239002	multi;eb;er;noh
b63474268	sse0000319877	multi;eb;er;noh
b6347427x	sse0000319892	multi;eb;er;noh
b63474323	sse0000240633	multi;eb;er;noh
b63474335	sse0000240725	multi;eb;er;noh
b63474360	sse0000240819	multi;eb;er;noh
b63474396	sse0000241927	multi;eb;er;noh
b63474402	sse0000319920	multi;eb;er;noh
b63474438	sse0000242535	multi;eb;er;noh
b63474451	sse0000242760	multi;eb;er;noh
b63474499	sse0000243657	multi;eb;er;noh
b63474529	sse0000309180	multi;eb;er;noh
b63474530	sse0000243714	multi;eb;er;noh
b63474566	sse0000244270	multi;eb;er;noh
b63474578	sse0000244271	multi;eb;er;noh
b63474591	sse0000244336	multi;eb;er;noh
b63474621	sse0000309346	multi;eb;er;noh
b63474657	sse0000320032	multi;eb;er;noh
b63474669	sse0000320033	multi;eb;er;noh
b63474682	sse0000245623	multi;eb;er;noh
b63474694	sse0000309473	multi;eb;er;noh
b63474712	sse0000245671	multi;eb;er;noh
b63474724	sse0000315622	multi;eb;er;noh
b63474748	sse0000245893	multi;eb;er;noh
b63474761	sse0000246127	multi;eb;er;noh
b63474785	sse0000246274	multi;eb;er;noh
b63474803	sse0000246551	multi;eb;er;noh
b63474840	sse0000246751	multi;eb;er;noh
b63474918	sse0000320074	multi;eb;er;noh
b63474967	sse0000248911	multi;eb;er;noh
b63474979	sse0000315627	multi;eb;er;noh
b63474980	sse0000249776	multi;eb;er;noh
b63474992	sse0000249785	multi;eb;er;noh
b63475017	sse0000250107	multi;eb;er;noh
b63475091	sse0000251361	multi;eb;er;noh
b6347511x	sse0000252406	multi;eb;er;noh
